latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
37.75263,15.03727,303.71,0.46,0.63,2025-06-24,0001,N21,nominal,2.0NRT,289.47,1.12,N
37.75245,15.04122,298.01,0.45,0.63,2025-06-24,0001,N21,nominal,2.0NRT,285.76,1.12,N
37.74864,14.99546,298.17,0.46,0.63,2025-06-24,0001,N21,nominal,2.0NRT,281.07,1.37,N
37.74845,14.99972,301.19,0.46,0.63,2025-06-24,0001,N21,nominal,2.0NRT,287.02,1.37,N
37.74855,14.99891,302.38,0.46,0.63,2025-06-24,0001,N21,nominal,2.0NRT,286.8,1.62,N
37.43812,15.02869,311.23,0.45,0.63,2025-06-24,0001,N21,nominal,2.0NRT,292.73,1.25,N
37.32948,14.84733,305.44,0.46,0.64,2025-06-24,0001,N21,nominal,2.0NRT,290.57,1.1,N
37.32412,14.8475,302.37,0.46,0.64,2025-06-24,0001,N21,nominal,2.0NRT,291.32,0.33,N
37.20857,15.16695,307.62,0.44,0.62,2025-06-24,0001,N21,nominal,2.0NRT,295.07,2.02,N
34.7246,33.31392,312.73,0.4,0.44,2025-06-24,0001,N21,nominal,2.0NRT,294.68,1.99,N
37.74334,-1.17984,304.01,0.45,0.39,2025-06-24,0141,N21,nominal,2.0NRT,291.33,0.85,N
37.71265,-1.05061,306.14,0.45,0.39,2025-06-24,0141,N21,nominal,2.0NRT,292.98,0.84,N
37.65168,-0.93898,307.6,0.45,0.39,2025-06-24,0141,N21,nominal,2.0NRT,293.47,0.92,N
36.42948,6.62202,312.46,0.49,0.4,2025-06-24,0141,N21,nominal,2.0NRT,292.8,1.72,N
37.66165,-1.18802,302.86,0.45,0.39,2025-06-24,0141,N21,nominal,2.0NRT,292.76,0.66,N
36.33555,5.48217,306.84,0.44,0.38,2025-06-24,0141,N21,nominal,2.0NRT,290.72,1.33,N
58.06387,8.02133,321.09,0.41,0.37,2025-06-24,0134,N21,nominal,2.0NRT,282.85,2.92,N
37.41277,-1.57919,304.99,0.47,0.4,2025-06-24,0141,N21,nominal,2.0NRT,294.71,1.09,N
54.56955,22.18096,296.14,0.53,0.5,2025-06-24,0134,N21,nominal,2.0NRT,282.42,0.75,N
36.3321,5.48119,305.42,0.44,0.38,2025-06-24,0141,N21,nominal,2.0NRT,291.66,1.33,N
57.06133,9.97691,329.59,0.39,0.36,2025-06-24,0134,N21,nominal,2.0NRT,287.61,3.44,N
36.74886,3.08131,319.62,0.39,0.36,2025-06-24,0141,N21,nominal,2.0NRT,295.66,2.05,N
55.85292,9.45044,329.05,0.39,0.36,2025-06-24,0134,N21,nominal,2.0NRT,283.39,3.17,N
36.48682,4.59348,323.23,0.41,0.37,2025-06-24,0141,N21,nominal,2.0NRT,295.06,1.89,N
52.58499,19.69305,308.15,0.5,0.49,2025-06-24,0134,N21,nominal,2.0NRT,283.99,1.85,N
36.68015,3.12303,315.6,0.39,0.36,2025-06-24,0141,N21,nominal,2.0NRT,295.87,1.54,N
50.92762,21.67558,311.92,0.34,0.56,2025-06-24,0137,N21,nominal,2.0NRT,286.26,1.33,N
36.67747,2.99336,303.49,0.39,0.36,2025-06-24,0141,N21,nominal,2.0NRT,292.48,0.5,N
53.52324,9.90173,330.23,0.39,0.36,2025-06-24,0137,N21,nominal,2.0NRT,287.83,3.41,N
